x,y
6.0,0.0
5.988160370569629,0.37674311717588027
5.952688207886867,0.7519994013858255
5.893723504372132,1.1242878875143476
5.8114989667717865,1.4921393229891287
5.706339097770921,1.8541019662496843
5.578658915329509,2.2087473161080675
5.4289623147961175,2.554675749390436
5.257840080263182,2.890522044610292
5.06596755301209,3.21496076987398
4.854101966249685,3.526711513754839
4.623079456654736,3.8245439384921376
4.373811764528469,4.1072826355721315
4.1072826355721315,4.373811764528469
3.8245439384921385,4.623079456654736
3.5267115137548393,4.854101966249684
3.2149607698739793,5.06596755301209
2.890522044610291,5.257840080263183
2.554675749390436,5.4289623147961175
2.2087473161080684,5.578658915329508
1.8541019662496847,5.706339097770921
1.4921393229891284,5.8114989667717865
1.1242878875143485,5.893723504372131
0.7519994013858269,5.952688207886867
0.37674311717588116,5.988160370569629
3.6739403974420594e-16,6.0
-0.3767431171758804,5.988160370569629
-0.7519994013858249,5.952688207886867
-1.1242878875143476,5.893723504372132
-1.492139322989129,5.8114989667717865
-1.8541019662496827,5.706339097770922
-2.2087473161080666,5.578658915329509
-2.5546757493904364,5.428962314796117
-2.8905220446102926,5.257840080263181
-3.214960769873981,5.06596755301209
-3.5267115137548384,4.854101966249685
-3.8245439384921385,4.623079456654736
-4.107282635572132,4.373811764528469
-4.373811764528468,4.107282635572133
-4.623079456654735,3.8245439384921394
-4.854101966249684,3.5267115137548393
-5.065967553012089,3.214960769873982
-5.257840080263182,2.8905220446102913
-5.428962314796117,2.5546757493904373
-5.578658915329508,2.208747316108069
-5.706339097770921,1.8541019662496852
-5.811498966771786,1.4921393229891313
-5.893723504372132,1.1242878875143474
-5.952688207886867,0.7519994013858272
-5.988160370569629,0.3767431171758815
-6.0,7.347880794884119e-16
-5.988160370569629,-0.37674311717588005
-5.952688207886867,-0.7519994013858258
-5.893723504372131,-1.1242878875143485
-5.811498966771787,-1.4921393229891273
-5.706339097770922,-1.8541019662496838
-5.578658915329509,-2.2087473161080675
-5.428962314796118,-2.5546757493904337
-5.257840080263181,-2.890522044610292
-5.065967553012091,-3.2149607698739784
-4.8541019662496865,-3.526711513754836
-4.623079456654736,-3.8245439384921376
-4.373811764528471,-4.107282635572131
-4.1072826355721315,-4.373811764528469
-3.824543938492137,-4.623079456654736
-3.5267115137548393,-4.854101966249684
-3.214960769873978,-5.065967553012092
-2.8905220446102917,-5.257840080263182
-2.554675749390433,-5.428962314796118
-2.2087473161080666,-5.578658915329509
-1.8541019662496854,-5.706339097770921
-1.4921393229891267,-5.811498966771787
-1.1242878875143478,-5.893723504372132
-0.7519994013858275,-5.952688207886867
-0.37674311717587927,-5.988160370569629
-1.102182119232618e-15,-6.0
0.376743117175877,-5.988160370569629
0.7519994013858253,-5.952688207886867
1.1242878875143456,-5.893723504372132
1.4921393229891295,-5.8114989667717865
1.8541019662496834,-5.706339097770922
2.2087473161080644,-5.578658915329509
2.554675749390431,-5.428962314796119
2.8905220446102944,-5.25784008026318
3.2149607698739806,-5.06596755301209
3.5267115137548375,-4.854101966249686
3.824543938492136,-4.623079456654738
4.107282635572128,-4.373811764528472
4.373811764528467,-4.107282635572133
4.623079456654736,-3.8245439384921376
4.854101966249684,-3.52671151375484
5.065967553012088,-3.214960769873983
5.257840080263179,-2.8905220446102966
5.428962314796117,-2.554675749390438
5.578658915329509,-2.208747316108067
5.706339097770921,-1.8541019662496856
5.811498966771786,-1.4921393229891322
5.893723504372132,-1.124287887514348
5.952688207886867,-0.7519994013858279
5.988160370569629,-0.3767431171758796
