Timestamp,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Orientation_X,Orientation_Y,Orientation_Z,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z
2024-03-06 03:07:20.659,-0.5467758079659509,1.4905303474356908,-9.789647069506346,-0.007510659335646963,0.0030583109980340467,0.9142798784797417,-0.01705598609314418,-0.0014327297654247516,0.861261557292065
2024-03-06 03:07:20.711,-0.50379877437955,1.4647809907758325,-9.941766870180043,-0.007513821495659435,0.0027184115201021757,0.9228086926744882,-0.019357629442124543,-0.005946728775063809,0.863199459063841
2024-03-06 03:07:20.764,-0.5077607368391029,1.515102128246605,-9.868878868117163,-0.007486511635495016,0.0024808498270264792,0.9309212136371909,-0.015143549064123806,-0.005255855280265977,0.8647375689376985
2024-03-06 03:07:20.817,-0.5646020749865976,1.5615645985679751,-9.7287679126792,-0.007427218105624242,0.0023782997476425134,0.9385589622975806,-0.009642723257685917,-0.004206207963819016,0.8602058950532898
2024-03-06 03:07:20.872,-0.6350928193868755,1.5484127877568339,-9.723818492223748,-0.00767425874102697,0.0022523591013335806,0.945782847038723,-0.015019042690498391,0.007001862589390425,0.862930197585981
2024-03-06 03:07:20.943,-0.6575869651516572,1.553038061405587,-9.865744129612157,-0.007829597810651557,0.0021297747013770073,0.9525821331732354,-0.013653402597889747,0.0037524804066845683,0.8649194340546358
2024-03-06 03:07:20.996,-0.5568570920501726,1.58012929085028,-9.95704810339077,-0.007888632303138604,0.0020139255671096866,0.9589375157352211,-0.012158686274992551,0.000347768603823273,0.8650547680995624
2024-03-06 03:07:21.050,-0.5815276861815603,1.5698837534859111,-9.825028291832243,-0.007684652564155588,0.0019168294643415462,0.9648064808491061,-0.008205205210227117,-0.009291271473113783,0.859027902760152
2024-03-06 03:07:21.115,-0.605162492498488,1.5194230107678348,-9.69041269811704,-0.007681180026508598,0.0015802942699504616,0.970244496919586,-0.019689199224199927,-0.0041707933659623315,0.8614513891195729
2024-03-06 03:07:21.171,-0.6803015767872516,1.484669197147592,-9.757938610711257,-0.007844955756831059,0.0012496411953987342,0.9752467990587238,-0.021252375848816882,0.0024887866493522415,0.8643092845413027
2024-03-06 03:07:21.229,-0.6531159927286994,1.6100841042452592,-9.922088956435642,-0.007966286256375068,0.0012348258066883513,0.9797998913121525,-0.008607059840088645,0.004045688818025662,0.8656944145280345
2024-03-06 03:07:21.283,-0.63619519967264,1.6524322826657012,-9.92272467719488,-0.007879551587032796,0.0012281909720529816,0.9838653315394703,-0.006405307715841931,-0.0038447556366564433,0.8589279948900731
2024-03-06 03:07:21.339,-0.6606413581709292,1.5823110302930117,-9.744528776993073,-0.007904559492077506,0.0010039545745799002,0.9874906687607746,-0.01586223746718909,-0.0010595402869836106,0.8624665408689487
2024-03-06 03:07:21.392,-0.6717334313356271,1.516149284016701,-9.706381992413215,-0.007885073206343924,0.0007126034052644509,0.9906591022707417,-0.018197852816365198,-0.0031429210499921935,0.8630210000270335
2024-03-06 03:07:21.445,-0.6301536725830871,1.5956131332774928,-9.863134657014283,-0.00785886813186991,0.0005424358852233921,0.9933714729515373,-0.013393397523736361,-0.0024991561981388263,0.8649155501610455
2024-03-06 03:07:21.496,-0.6581785062983597,1.6358388276511986,-9.94423152212444,-0.007704141394911237,0.0004421100198768063,0.9955987139857128,-0.009864967325761127,-0.007059366058129329,0.8557138343886399
2024-03-06 03:07:21.548,-0.7242141806078858,1.59910746705301,-9.818631782429087,-0.007835683333023235,0.000171385724095352,0.9973764907348319,-0.017993555743163164,0.0036722084724867435,0.8603399126356337
2024-03-06 03:07:21.600,-0.7458275426414751,1.5914695512829842,-9.703098894229118,-0.008033672595934745,7.681548832813567e-06,0.998697192537901,-0.014022411500292223,0.006860103673628722,0.8643953064462756
2024-03-06 03:07:21.654,-0.6531374102365152,1.6620743346719153,-9.795121942133438,-0.008177258490822608,-7.731095350210338e-05,0.9995522412197054,-0.01074116363373936,0.005065426779133571,0.8650205722631341
2024-03-06 03:07:21.722,-0.6488110591058024,1.6451009117065496,-9.919199062623873,-0.0081111774320262,-0.00015227497411919399,0.9999410431422644,-0.009908283115601223,-0.003136637211168392,0.8627007819089774
2024-03-06 03:07:21.790,-0.6402190470591453,1.606720027567147,-9.867781304515109,-0.007953048942763505,-0.00027976185994678615,0.99986681618833,-0.011877046173127823,-0.0067247125989639365,0.858600666372896
2024-03-06 03:07:21.844,-0.7072224513340323,1.522187164396471,-9.738952017681157,-0.007848039317177551,-0.0006956867915978994,0.9993260563592281,-0.023480560316416727,-0.004540849930585142,0.8642583668640745
2024-03-06 03:07:21.898,-0.6795682927169997,1.5895850783504182,-9.774416686505777,-0.00792633388714534,-0.0008699596138368937,0.998315537252678,-0.013731409858267322,0.0027988741669289635,0.8655040698472339
2024-03-06 03:07:21.954,-0.7090975761166994,1.691608213566226,-9.879997089617092,-0.008020744778845054,-0.0008929894544753001,0.9968394155379291,-0.007665844240201894,0.0033757184874982572,0.8645854829284767
2024-03-06 03:07:22.006,-0.6976762004019821,1.6765403696302708,-9.888408422182472,-0.007986624109363186,-0.0010612644674428714,0.9949115311762543,-0.013727398906838523,-0.0012695191874772874,0.8593113192738189
2024-03-06 03:07:22.059,-0.7167877063388722,1.5872965977041735,-9.752891401390116,-0.007869014029988033,-0.001360252576475884,0.9925084675142805,-0.01925396200488786,-0.004040828939888453,0.8646400323921564
2024-03-06 03:07:22.113,-0.643768734862371,1.6203014341784892,-9.777508584174386,-0.007779022169121173,-0.0015467703255047365,0.9896435085649911,-0.014672891063894602,-0.0032441449907471176,0.864079623933131
2024-03-06 03:07:22.165,-0.6835907736787298,1.6862043775651387,-9.831667690151324,-0.007719609150771711,-0.0015910342739016545,0.9863155734223295,-0.008889126844571998,-0.0025763689097241314,0.8643721782054317
2024-03-06 03:07:22.218,-0.7057734429888003,1.68911307245049,-9.899616143777573,-0.007683330367601169,-0.0017622039070857246,0.9825504616678477,-0.013748589321519874,-0.0007826007625516398,0.8592037354865335
