X-axis,Y-axis
0.000000,0.000000
0.200803,0.000000
0.401606,0.000000
0.602410,0.000000
0.803213,0.000000
1.004016,0.000000
1.204819,0.000000
1.405622,0.000000
1.606426,0.000000
1.807229,0.000000
2.008032,0.000000
2.208835,0.000000
2.409639,0.000000
2.610442,0.000000
2.811245,0.000000
3.012048,0.000000
3.212851,0.000000
3.413655,0.000000
3.614458,0.000000
3.815261,0.000000
4.016064,0.000000
4.216867,0.000000
4.417671,0.000000
4.618474,0.000000
4.819277,0.000000
5.020080,0.000000
5.220884,0.000000
5.421687,0.000000
5.622490,0.000000
5.823293,0.000000
6.024096,0.000000
6.224900,0.000000
6.425703,0.000000
6.626506,0.000000
6.827309,0.000000
7.028112,0.000000
7.228916,0.000000
7.429719,0.000000
7.630522,0.000000
7.831325,0.000000
8.032129,0.000000
8.232932,0.000000
8.433735,0.000000
8.634538,0.000000
8.835341,0.000000
9.036145,0.000000
9.236948,0.000000
9.437751,0.000000
9.638554,0.000000
9.839357,0.000000
10.040161,0.000000
10.240964,0.000000
10.441767,0.000000
10.642570,0.000000
10.843373,0.000000
11.044177,0.000000
11.244980,0.000000
11.445783,0.000000
11.646586,0.000000
11.847390,0.000000
12.048193,0.000000
12.248996,0.000000
12.449799,0.000000
12.650602,0.000000
12.851406,0.000000
13.052209,0.000000
13.253012,0.000000
13.453815,0.000000
13.654618,0.000000
13.855422,0.000000
14.056225,0.000000
14.257028,0.000000
14.457831,0.000000
14.658635,0.000000
14.859438,0.000000
15.060241,0.000000
15.261044,0.000000
15.461847,0.000000
15.662651,0.000000
15.863454,0.000000
16.064257,0.000000
16.265060,0.000000
16.465863,0.000000
16.666667,0.000000
16.867470,0.000000
17.068273,0.000000
17.269076,0.000000
17.469880,0.000000
17.670683,0.000000
17.871486,0.000000
18.072289,0.000000
18.273092,0.000000
18.473896,0.000000
18.674699,0.000000
18.875502,0.000000
19.076305,0.000000
19.277108,0.000000
19.477912,0.000000
19.678715,0.000000
19.879518,0.000000
20.080321,0.000000
20.281124,0.000000
20.481928,0.000000
20.682731,0.000000
20.883534,0.000000
21.084337,0.000000
21.285141,0.000000
21.485944,0.000000
21.686747,0.000000
21.887550,0.000000
22.088353,0.000000
22.289157,0.000000
22.489960,0.000000
22.690763,0.000000
22.891566,0.000000
23.092369,0.000000
23.293173,0.000000
23.493976,0.000000
23.694779,0.000000
23.895582,0.000000
24.096386,0.000000
24.297189,0.000000
24.497992,0.000000
24.698795,0.000000
24.899598,0.000000
25.100402,0.000000
25.301205,0.000000
25.502008,0.000000
25.702811,0.000000
25.903614,0.000000
26.104418,0.000000
26.305221,0.000000
26.506024,0.000000
26.706827,0.000000
26.907631,0.000000
27.108434,0.000000
27.309237,0.000000
27.510040,0.000000
27.710843,0.000000
27.911647,0.000000
28.112450,0.000000
28.313253,0.000000
28.514056,0.000000
28.714859,0.000000
28.915663,0.000000
29.116466,0.000000
29.317269,0.000000
29.518072,0.000000
29.718876,0.000000
29.919679,0.000000
30.120482,0.000000
30.321285,0.000000
30.522088,0.000000
30.722892,0.000000
30.923695,0.000000
31.124498,0.000000
31.325301,0.000000
31.526104,0.000000
31.726908,0.000000
31.927711,0.000000
32.128514,0.000000
32.329317,0.000000
32.530120,0.000000
32.730924,0.000000
32.931727,0.000000
33.132530,0.000000
33.333333,0.000000
33.534137,0.000000
33.734940,0.000000
33.935743,0.000000
34.136546,0.000000
34.337349,0.000000
34.538153,0.000000
34.738956,0.000000
34.939759,0.000000
35.140562,0.000000
35.341365,0.000000
35.542169,0.000000
35.742972,0.000000
35.943775,0.000000
36.144578,0.000000
36.345382,0.000000
36.546185,0.000000
36.746988,0.000000
36.947791,0.000000
37.148594,0.000000
37.349398,0.000000
37.550201,0.000000
37.751004,0.000000
37.951807,0.000000
38.152610,0.000000
38.353414,0.000000
