X,Y
-3.997056007385254,-1.5003806352615356
-3.997037172317505,-1.5003817081451416
-3.9970180988311768,-1.5003832578659058
-3.996997117996216,-1.5003854036331177
-3.9969756603240967,-1.5003876686096191
-3.9969522953033447,-1.500389814376831
-3.9969282150268555,-1.500391960144043
-3.9969019889831543,-1.5003944635391235
-3.9968748092651367,-1.500397801399231
-3.9968461990356445,-1.5004011392593384
-3.9968152046203613,-1.5004044771194458
-3.9967827796936035,-1.5004079341888428
-3.9950501918792725,-1.5006988048553467
-3.999688148498535,-1.4998668432235718
-4.008024215698242,-1.4983943700790405
-4.015558242797852,-1.4970701932907104
-4.029407978057861,-1.494677186012268
-4.0555033683776855,-1.4900718927383423
-4.087127208709717,-1.4844890832901
-4.115912437438965,-1.4794042110443115
-4.144349575042725,-1.4743753671646118
-4.1793975830078125,-1.4681906700134277
-4.221961498260498,-1.4607160091400146
-4.269999980926514,-1.452262282371521
-4.323113918304443,-1.4428890943527222
-4.379849433898926,-1.4328688383102417
-4.437023162841797,-1.4227731227874756
-4.494670391082764,-1.4125938415527344
-4.557555675506592,-1.4015032052993774
-4.63007116317749,-1.3887373208999634
-4.710465431213379,-1.3745499849319458
-4.793030738830566,-1.3599780797958374
-4.875136375427246,-1.3454922437667847
-4.958159446716309,-1.3308427333831787
-5.044525623321533,-1.3156086206436157
-5.13704776763916,-1.2992976903915405
-5.237411022186279,-1.281602382659912
-5.342757225036621,-1.2630248069763184
-5.448237419128418,-1.244422197341919
-5.552696704864502,-1.2259997129440308
-5.659653186798096,-1.2071359157562256
-5.772650718688965,-1.1872104406356812
-5.892242908477783,-1.1661282777786255
-6.018233776092529,-1.143906593322754
-6.148813247680664,-1.1208710670471191
-6.279555797576904,-1.0978047847747803
-6.4101152420043945,-1.0747705698013306
-6.5459794998168945,-1.050799012184143
-6.691705226898193,-1.025101900100708
-6.845709800720215,-0.9979367852210999
-7.002808570861816,-0.9702251553535461
-7.160206317901611,-0.9424614310264587
-7.3184356689453125,-0.9145542979240417
-7.477967262268066,-0.886420726776123
-7.640924453735352,-0.8576826453208923
-7.8110456466674805,-0.827682614326477
-7.988918781280518,-0.7963140606880188
-8.168985366821289,-0.7645584344863892
-8.346717834472656,-0.7332112789154053
-8.526479721069336,-0.7015061974525452
-8.714540481567383,-0.6683393716812134
-8.911690711975098,-0.63358074426651
-9.114538192749023,-0.5978082418441772
-9.319952964782715,-0.5615840554237366
-9.526525497436523,-0.5251579880714417
-9.733556747436523,-0.4886537492275238
-9.941740036010742,-0.45194515585899353
-10.15452766418457,-0.41442379355430603
-10.374876022338867,-0.37556779384613037
-10.603195190429688,-0.3353058993816376
-10.836586952209473,-0.2941504418849945
-11.070512771606445,-0.2529045343399048
-11.304189682006836,-0.21170327067375183
-11.54321575164795,-0.16955173015594482
-11.792739868164062,-0.1255597472190857
-12.04841136932373,-0.08048371970653534
-12.302490234375,-0.03569293022155762
-12.554905891418457,0.008805466815829277
-12.811909675598145,0.05411624163389206
-13.07645320892334,0.10075707733631134
-13.347640991210938,0.14856648445129395
-13.624371528625488,0.19734899699687958
-13.90479564666748,0.2467825710773468
-14.185811042785645,0.29630741477012634
-14.466341018676758,0.34575217962265015
-14.749905586242676,0.3957349956035614
-15.040642738342285,0.4469832181930542
-15.339864730834961,0.49971818923950195
-15.644956588745117,0.5534886121749878
-15.951814651489258,0.6075709462165833
-16.258358001708984,0.6615915298461914
-16.56587028503418,0.7157869935035706
-16.87799644470215,0.7707923650741577
-17.198902130126953,0.8273812532424927
-17.529600143432617,0.8856436014175415
-17.863784790039062,0.9445211887359619
-18.19367218017578,1.0026413202285767
-18.52083969116211,1.0602766275405884
-18.849132537841797,1.1181185245513916
-19.178279876708984,1.1761020421981812
-19.506322860717773,1.2338857650756836
-19.832996368408203,1.2914319038391113
-20.15969467163086,1.3489855527877808
-20.487096786499023,1.4066673517227173
-20.81493377685547,1.4644216299057007
-21.142837524414062,1.5221853256225586
-21.47058868408203,1.5799171924591064
-21.798208236694336,1.6376227140426636
-22.12592124938965,1.6953513622283936
-22.453662872314453,1.7530848979949951
-22.781339645385742,1.8108052015304565
-23.109203338623047,1.8685593605041504
-23.437326431274414,1.9263548851013184
-23.765371322631836,1.984130859375
-24.09316635131836,2.041865348815918
-24.42087745666504,2.0995895862579346
-24.748666763305664,2.1573219299316406
-25.076629638671875,2.215090274810791
-25.404706954956055,2.2728748321533203
-25.73272705078125,2.3306398391723633
-26.060651779174805,2.3883917331695557
-26.38861846923828,2.4461514949798584
-26.716623306274414,2.5039219856262207
-27.044668197631836,2.561697483062744
-27.372882843017578,2.619501829147339
-27.701168060302734,2.677311658859253
-28.02928352355957,2.735086679458618
-28.357257843017578,2.7928414344787598
-28.685277938842773,2.8506078720092773
-29.013357162475586,2.9083845615386963
-29.3415470123291,2.9661827087402344
-29.669828414916992,3.0239880084991455
-29.9980525970459,3.081777572631836
-30.326204299926758,3.1395583152770996
-30.654396057128906,3.1973469257354736
-30.982568740844727,3.2551376819610596
-31.310810089111328,3.3129336833953857
-31.63930320739746,3.3707690238952637
-31.967859268188477,3.4286184310913086
-32.296173095703125,3.486417055130005
-32.62431716918945,3.5441863536834717
-32.95246124267578,3.6019561290740967
-33.28052520751953,3.6597213745117188
-33.60857009887695,3.717468023300171
-33.936771392822266,3.775247812271118
-34.265254974365234,3.8330705165863037
-34.593910217285156,3.890921115875244
-34.92242431640625,3.9487454891204834
-35.250633239746094,4.00651741027832
-35.57884216308594,4.064294338226318
-35.90733337402344,4.1221208572387695
-36.23600769042969,4.179978370666504
-36.564632415771484,4.237822532653809
-36.893131256103516,4.295647144317627
-37.22142791748047,4.35343074798584
-37.54947280883789,4.411172389984131
-37.877593994140625,4.468929290771484
-38.20608139038086,4.526742935180664
-38.53476333618164,4.584593296051025
-38.86333465576172,4.642425060272217
-39.19166564941406,4.7002105712890625
-39.51990509033203,4.757981300354004
-39.848304748535156,4.815784931182861
-40.17694854736328,4.873628616333008
-40.505619049072266,4.931468486785889
-40.83416748046875,4.98928689956665
-41.16265106201172,5.047098636627197
-41.491092681884766,5.1048994064331055
-41.819461822509766,5.1626877784729
-42.14775466918945,5.220458030700684
-42.47604751586914,5.278226852416992
-42.80448532104492,5.3360161781311035
-43.1330680847168,5.393833637237549
-43.46162033081055,5.4516496658325195
-43.790008544921875,5.509436130523682
-44.118648529052734,5.564818382263184
-44.45081329345703,5.612531661987305
-44.78587341308594,5.652038097381592
-45.11835479736328,5.67990779876709
-45.444637298583984,5.693789005279541
-45.769046783447266,5.69687557220459
-46.096343994140625,5.690893650054932
-46.4248161315918,5.679431915283203
-46.74991989135742,5.663155555725098
-47.070613861083984,5.6407599449157715
-47.386131286621094,5.611631870269775
-47.698219299316406,5.57499361038208
-48.01074981689453,5.530096054077148
-48.32406234741211,5.477068901062012
-48.63713073730469,5.418514251708984
-48.950565338134766,5.353673934936523
-49.26405715942383,5.282784461975098
-49.57452392578125,5.205061912536621
-49.881656646728516,5.119475841522217
-50.188228607177734,5.0259013175964355
-50.4948844909668,4.925438404083252
-50.80052185058594,4.818320274353027
-51.10435104370117,4.705315589904785
-51.40632629394531,4.587882995605469
-51.71017074584961,4.469345569610596
-52.01936721801758,4.353581428527832
-52.33388137817383,4.2458577156066895
-52.65021896362305,4.1513566970825195
-52.964351654052734,4.0742082595825195
-53.276275634765625,4.011188507080078
-53.59029769897461,3.9572572708129883
-53.90927505493164,3.9074013233184814
-54.23273849487305,3.861253023147583
-54.557369232177734,3.8221797943115234
-54.878807067871094,3.791534662246704
-55.19702911376953,3.768854856491089
-55.51615905761719,3.7543373107910156
-55.83924865722656,3.7468228340148926
-56.16529846191406,3.7449660301208496
-56.492733001708984,3.749568462371826
-56.81913757324219,3.7610273361206055
-57.140769958496094,3.7804675102233887
-57.45838165283203,3.809112310409546
-57.77708053588867,3.8445987701416016
-58.098976135253906,3.88612699508667
-58.42167663574219,3.9342498779296875
-58.741607666015625,3.9890120029449463
-59.057003021240234,4.051426887512207
-59.37043380737305,4.119733810424805
-59.688446044921875,4.1880340576171875
-60.01371383666992,4.25218391418457
-60.344444274902344,4.311435222625732
-60.67699432373047,4.366885185241699
-61.008209228515625,4.419461727142334
-61.33699417114258,4.47088623046875
-61.6639518737793,4.525125026702881
-61.99144744873047,4.580768585205078
-62.32069778442383,4.6374945640563965
-62.65083312988281,4.693234443664551
-62.98028564453125,4.747184753417969
-63.308895111083984,4.7997541427612305
-63.63707733154297,4.853370666503906
-63.965206146240234,4.9086995124816895
-64.29354095458984,4.965414524078369
-64.62232208251953,5.021650314331055
-64.95137023925781,5.076096534729004
-65.28047943115234,5.129368782043457
-65.609619140625,5.182620525360107
-65.93843078613281,5.23751163482666
-66.26696014404297,5.293755054473877
-66.59550476074219,5.3501434326171875
-66.92434692382812,5.405102252960205
-67.25347137451172,5.458824157714844
-67.58277893066406,5.512063980102539
-67.91169738769531,5.566504001617432
-68.24019622802734,5.622036933898926
-68.56873321533203,5.678300380706787
-68.89746856689453,5.733706474304199
-69.22612762451172,5.788017749786377
-69.55509948730469,5.841531753540039
-69.88420104980469,5.895572662353516
-70.21279907226562,5.950654983520508
-70.54104614257812,6.006612777709961
-70.86949920654297,6.062255382537842
-71.19818878173828,6.116964340209961
-71.5272445678711,6.170767784118652
-71.85639190673828,6.2246856689453125
-72.18524932861328,6.279448986053467
-72.51376342773438,6.335019588470459
-72.84212493896484,6.390735626220703
-73.1705093383789,6.445708274841309
-73.49922943115234,6.49993371963501
-73.82850646972656,6.553902626037598
-74.1576919555664,6.608417987823486
-74.48632049560547,6.6635918617248535
-74.81459045410156,6.7191572189331055
-75.14302825927734,6.774377346038818
-75.47187042236328,6.828987121582031
-75.8011474609375,6.883142471313477
-76.13027954101562,6.937496185302734
-76.45880126953125,6.992358684539795
-76.78713989257812,7.047696113586426
-77.11582946777344,7.103041172027588
-77.44477844238281,7.157907485961914
-77.77377319335938,7.21228551864624
-78.10272979736328,7.266564846038818
-78.43144226074219,7.321240425109863
-78.76005554199219,7.376378059387207
-79.0886001586914,7.431676864624023
-79.41712951660156,7.4866485595703125
-79.74586486816406,7.541204929351807
-80.07504272460938,7.595592498779297
-80.40418243408203,7.6501946449279785
-80.73270416259766,7.7051191329956055
-81.0608901977539,7.760245323181152
-81.38923645019531,7.815280914306641
-81.71796417236328,7.870020389556885
-82.04695892333984,7.924510478973389
-82.37589263916016,7.979025363922119
-82.70451354980469,8.033803939819336
-83.03297424316406,8.088851928710938
-83.36151123046875,8.143936157226562
-83.690185546875,8.198801040649414
-84.01899719238281,8.253390312194824
-84.34783935546875,8.307912826538086
-84.67662048339844,8.3626070022583
-85.00528717041016,8.417559623718262
-85.33390045166016,8.472620964050293
-85.6624984741211,8.527544975280762
-85.99119567871094,8.58224105834961
-86.32010650634766,8.636821746826172
-86.64906311035156,8.69149112701416
-86.97783660888672,8.746354103088379
-87.30644989013672,8.801353454589844
-87.63501739501953,8.856315612792969
-87.96369934082031,8.91110610961914
-88.2926254272461,8.965761184692383
-88.62162780761719,9.020426750183105
-88.95044708251953,9.075218200683594
-89.27906799316406,9.130141258239746
-89.607666015625,9.185110092163086
-89.9364013671875,9.239977836608887
-90.26534271240234,9.294721603393555
-90.59434509277344,9.349411964416504
-90.92318725585938,9.404158592224121
-91.25184631347656,9.459022521972656
-91.58051300048828,9.513976097106934
-91.90924835205078,9.568885803222656
-92.23809814453125,9.62368392944336
-92.56707000732422,9.678410530090332
-92.89601135253906,9.733160018920898
-93.22480010986328,9.787994384765625
-93.553466796875,9.842916488647461
-93.88214874267578,9.897839546203613
-94.21088409423828,9.952675819396973
-94.53978729248047,10.007440567016602
-94.86878967285156,10.06220817565918
-95.19770050048828,10.11702823638916
-95.52642059326172,10.171920776367188
-95.85508728027344,10.22684383392334
-96.18382263183594,10.281717300415039
-96.51270294189453,10.336533546447754
-96.84162902832031,10.391297340393066
-97.17033386230469,10.446073532104492
-97.49895477294922,10.50090503692627
-97.8277359008789,10.55582046508789
-98.15670013427734,10.610745429992676
-98.4855728149414,10.665593147277832
-98.81421661376953,10.720342636108398
-99.1427993774414,10.775086402893066
-99.4715347290039,10.829912185668945
-99.80049133300781,10.884836196899414
-100.1295166015625,10.939778327941895
-100.45830535888672,10.994637489318848
-100.78683471679688,11.049407958984375
-101.11543273925781,11.104157447814941
-101.44427490234375,11.158982276916504
-101.77326965332031,11.21389389038086
-102.10222625732422,11.268828392028809
-102.43098449707031,11.32370662689209
-102.75957489013672,11.378511428833008
-103.08826446533203,11.433287620544434
-103.41714477539062,11.488113403320312
-103.74604797363281,11.542985916137695
-104.07490539550781,11.59788990020752
-104.4036865234375,11.652774810791016
-104.73501586914062,11.707183837890625
-105.04712677001953,11.75912857055664
-105.35466003417969,11.810439109802246
-105.66743469238281,11.862632751464844
-105.96979522705078,11.913094520568848
-106.25174713134766,11.960135459899902
-106.52383422851562,12.005516052246094
-106.794189453125,12.050617218017578
-107.05912780761719,12.094842910766602
-107.31758117675781,12.137995719909668
-107.57313537597656,12.180662155151367
-107.82217407226562,12.222253799438477
-108.05927276611328,12.261850357055664
-108.2845230102539,12.299468040466309
-108.5003890991211,12.335527420043945
-108.70948028564453,12.37045955657959
-108.91338348388672,12.404521942138672
-109.11248016357422,12.437771797180176
-109.30960845947266,12.47069263458252
-109.50532531738281,12.503382682800293
-109.6937255859375,12.534849166870117
-109.87228393554688,12.56467056274414
-110.04348754882812,12.593273162841797
-110.20519256591797,12.620282173156738
-110.35269165039062,12.644911766052246
-110.48828887939453,12.667566299438477
-110.61831665039062,12.689292907714844
-110.74235534667969,12.710010528564453
-110.85638427734375,12.72905445098877
-110.96288299560547,12.746847152709961
-111.06795501708984,12.764396667480469
-111.17414855957031,12.782135963439941
-111.2800064086914,12.799821853637695
-111.38397216796875,12.817188262939453
-111.48373413085938,12.833853721618652
-111.57708740234375,12.84945297241211
-111.66401672363281,12.863974571228027
